"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","880976"
"Janssen Vaccines & Prevention B.V","free state","Adults","469108"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1457684"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1177254"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1040424"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","770489"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207074"
"Janssen Vaccines & Prevention B.V","north west","Adults","688165"
"Janssen Vaccines & Prevention B.V","western cape","Adults","724301"
"Pfizer","eastern cape","12-17 Years","40650"
"Pfizer","eastern cape","Adults","1070860"
"Pfizer","free state","12-17 Years","51138"
"Pfizer","free state","Adults","561502"
"Pfizer","gauteng","12-17 Years","118428"
"Pfizer","gauteng","Adults","3235945"
"Pfizer","kwazulu-natal","12-17 Years","55647"
"Pfizer","kwazulu-natal","Adults","1547578"
"Pfizer","limpopo","12-17 Years","54353"
"Pfizer","limpopo","Adults","835964"
"Pfizer","mpumalanga","12-17 Years","24336"
"Pfizer","mpumalanga","Adults","442621"
"Pfizer","northern cape","12-17 Years","6992"
"Pfizer","northern cape","Adults","183464"
"Pfizer","north west","12-17 Years","31312"
"Pfizer","north west","Adults","511975"
"Pfizer","western cape","12-17 Years","46210"
"Pfizer","western cape","Adults","1809339"
