"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10690","4457","15147"
"National","eastern cape","Private Health","Male","8878","3402","12280"
"National","eastern cape","Public Health","Female","110486","18609","129095"
"National","eastern cape","Public Health","Male","88697","12322","101019"
"National","free state","Private Health","Female","8721","3422","12143"
"National","free state","Private Health","Male","7061","2556","9617"
"National","free state","Public Health","Female","73670","25691","99361"
"National","free state","Public Health","Male","62155","18365","80520"
"National","gauteng","Private Health","Female","54001","26280","80281"
"National","gauteng","Private Health","Male","48800","22034","70834"
"National","gauteng","Public Health","Female","141350","39333","180683"
"National","gauteng","Public Health","Male","111266","29151","140417"
"National","kwazulu-natal","Private Health","Female","17588","8859","26447"
"National","kwazulu-natal","Private Health","Male","15756","7509","23265"
"National","kwazulu-natal","Public Health","Female","111913","22856","134769"
"National","kwazulu-natal","Public Health","Male","76004","14602","90606"
"National","limpopo","Private Health","Female","10176","4050","14226"
"National","limpopo","Private Health","Male","8098","2945","11043"
"National","limpopo","Public Health","Female","108433","26684","135117"
"National","limpopo","Public Health","Male","90730","20045","110775"
"National","mpumalanga","Private Health","Female","4040","1464","5504"
"National","mpumalanga","Private Health","Male","3496","1272","4768"
"National","mpumalanga","Public Health","Female","56410","11903","68313"
"National","mpumalanga","Public Health","Male","46409","8609","55018"
"National","northern cape","Private Health","Female","2126","926","3052"
"National","northern cape","Private Health","Male","1890","676","2566"
"National","northern cape","Public Health","Female","10908","2992","13900"
"National","northern cape","Public Health","Male","8762","2225","10987"
"National","north west","Private Health","Female","5210","2106","7316"
"National","north west","Private Health","Male","4670","1762","6432"
"National","north west","Public Health","Female","67633","15276","82909"
"National","north west","Public Health","Male","56477","11023","67500"
"National","western cape","Private Health","Female","23589","10955","34544"
"National","western cape","Private Health","Male","20918","9221","30139"
"National","western cape","Public Health","Female","46553","14154","60707"
"National","western cape","Public Health","Male","38445","11495","49940"
