"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10626","4179","14805"
"National","eastern cape","Private Health","Male","8832","3165","11997"
"National","eastern cape","Public Health","Female","109273","16960","126233"
"National","eastern cape","Public Health","Male","87896","11380","99276"
"National","free state","Private Health","Female","8622","3095","11717"
"National","free state","Private Health","Male","6984","2342","9326"
"National","free state","Public Health","Female","73234","23722","96956"
"National","free state","Public Health","Male","61816","17068","78884"
"National","gauteng","Private Health","Female","53556","24146","77702"
"National","gauteng","Private Health","Male","48340","20352","68692"
"National","gauteng","Public Health","Female","140576","35324","175900"
"National","gauteng","Public Health","Male","110532","26436","136968"
"National","kwazulu-natal","Private Health","Female","17519","8355","25874"
"National","kwazulu-natal","Private Health","Male","15709","6997","22706"
"National","kwazulu-natal","Public Health","Female","110838","20890","131728"
"National","kwazulu-natal","Public Health","Male","75402","13579","88981"
"National","limpopo","Private Health","Female","9978","3734","13712"
"National","limpopo","Private Health","Male","7922","2685","10607"
"National","limpopo","Public Health","Female","107157","24348","131505"
"National","limpopo","Public Health","Male","89603","18368","107971"
"National","mpumalanga","Private Health","Female","4017","1364","5381"
"National","mpumalanga","Private Health","Male","3458","1177","4635"
"National","mpumalanga","Public Health","Female","55821","10956","66777"
"National","mpumalanga","Public Health","Male","45241","7824","53065"
"National","northern cape","Private Health","Female","2101","864","2965"
"National","northern cape","Private Health","Male","1881","641","2522"
"National","northern cape","Public Health","Female","10856","2800","13656"
"National","northern cape","Public Health","Male","8737","2092","10829"
"National","north west","Private Health","Female","5148","1936","7084"
"National","north west","Private Health","Male","4618","1636","6254"
"National","north west","Public Health","Female","67192","14394","81586"
"National","north west","Public Health","Male","56121","10461","66582"
"National","western cape","Private Health","Female","23434","10212","33646"
"National","western cape","Private Health","Male","20773","8537","29310"
"National","western cape","Public Health","Female","46261","13387","59648"
"National","western cape","Public Health","Male","38174","10784","48958"
