"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","816878","0","69377","886255"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","442880","0","47877","490757"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1312108","0","121426","1433534"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1076895","0","94999","1171894"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1002824","0","67301","1070125"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","744631","0","58901","803532"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197195","0","14108","211303"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","662236","0","61027","723263"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","627724","0","72099","699823"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24384","0","12199","36583"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137094","0","65347","202441"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94465","0","40019","134484"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34171","0","17016","51187"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21851","0","7149","29000"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23455","0","8964","32419"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94395","0","61521","155916"
"Pfizer","National","eastern cape","Adults","1289136","1065805","120860","2475801"
"Pfizer","National","eastern cape","12-17 Years","217740","37148","0","254888"
"Pfizer","National","free state","12-17 Years","151208","48320","0","199528"
"Pfizer","National","free state","Adults","645346","558505","74546","1278397"
"Pfizer","National","gauteng","12-17 Years","354370","111508","2","465880"
"Pfizer","National","gauteng","Adults","3773053","3215059","428296","7416408"
"Pfizer","National","kwazulu-natal","Adults","1880329","1537723","208044","3626096"
"Pfizer","National","kwazulu-natal","12-17 Years","220448","51671","2","272121"
"Pfizer","National","limpopo","Adults","1002139","832095","88455","1922689"
"Pfizer","National","limpopo","12-17 Years","216261","51647","0","267908"
"Pfizer","National","mpumalanga","12-17 Years","109358","22265","0","131623"
"Pfizer","National","mpumalanga","Adults","540882","439510","54898","1035290"
"Pfizer","National","northern cape","12-17 Years","23658","6615","0","30273"
"Pfizer","National","northern cape","Adults","215210","182677","18425","416312"
"Pfizer","National","north west","12-17 Years","133612","29377","0","162989"
"Pfizer","National","north west","Adults","597089","508991","63358","1169438"
"Pfizer","National","western cape","12-17 Years","129225","44315","2","173542"
"Pfizer","National","western cape","Adults","2071613","1802760","333113","4207486"
