"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","499697"
"kwazulu-natal","Private Health","1165594"
"western cape","Private Health","1797666"
"limpopo","Private Health","554918"
"northern cape","Public Health","532361"
"gauteng","Private Health","4263667"
"kwazulu-natal","Public Health","4103338"
"free state","Public Health","1666428"
"north west","Public Health","1617625"
"gauteng","Public Health","5365398"
"mpumalanga","Private Health","376893"
"mpumalanga","Public Health","1654355"
"northern cape","Private Health","146676"
"eastern cape","Private Health","646867"
"western cape","Public Health","3487786"
"limpopo","Public Health","2794022"
"free state","Private Health","366281"
"eastern cape","Public Health","3100137"
