"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","817570","0","70520","888090"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","443253","0","48596","491849"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1314414","0","123670","1438084"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1078269","0","96674","1174943"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1003412","0","68642","1072054"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","745484","0","60092","805576"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197264","0","14359","211623"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","662845","0","62197","725042"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","628254","0","73062","701316"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137097","0","65348","202445"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34172","0","17016","51188"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21851","0","7149","29000"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23455","0","8964","32419"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94396","0","61521","155917"
"Pfizer","National","eastern cape","Adults","1289832","1066790","123232","2479854"
"Pfizer","National","eastern cape","12-17 Years","218045","37796","0","255841"
"Pfizer","National","free state","12-17 Years","151366","49232","0","200598"
"Pfizer","National","free state","Adults","645785","559194","76021","1281000"
"Pfizer","National","gauteng","12-17 Years","355175","114599","2","469776"
"Pfizer","National","gauteng","Adults","3776079","3221154","438016","7435249"
"Pfizer","National","kwazulu-natal","Adults","1881898","1540091","211723","3633712"
"Pfizer","National","kwazulu-natal","12-17 Years","220875","52739","2","273616"
"Pfizer","National","limpopo","Adults","1002736","833002","90226","1925964"
"Pfizer","National","limpopo","12-17 Years","216731","52479","0","269210"
"Pfizer","National","mpumalanga","12-17 Years","109668","22713","0","132381"
"Pfizer","National","mpumalanga","Adults","541513","440185","56070","1037768"
"Pfizer","National","northern cape","12-17 Years","23685","6725","0","30410"
"Pfizer","National","northern cape","Adults","215324","182883","18826","417033"
"Pfizer","National","north west","12-17 Years","133819","29811","0","163630"
"Pfizer","National","north west","Adults","597535","509789","65150","1172474"
"Pfizer","National","western cape","12-17 Years","129449","45091","2","174542"
"Pfizer","National","western cape","Adults","2072599","1804567","338697","4215863"
