"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","494690"
"kwazulu-natal","Private Health","1155286"
"western cape","Private Health","1780215"
"limpopo","Private Health","548786"
"northern cape","Public Health","527987"
"gauteng","Private Health","4221708"
"kwazulu-natal","Public Health","4061470"
"free state","Public Health","1648311"
"north west","Public Health","1598875"
"gauteng","Public Health","5323846"
"mpumalanga","Private Health","374109"
"mpumalanga","Public Health","1630616"
"northern cape","Private Health","144995"
"eastern cape","Private Health","641130"
"western cape","Public Health","3467423"
"limpopo","Public Health","2769630"
"free state","Private Health","361720"
"eastern cape","Public Health","3067720"
