"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10650","4293","14943"
"National","eastern cape","Private Health","Male","8856","3263","12119"
"National","eastern cape","Public Health","Female","109911","17760","127671"
"National","eastern cape","Public Health","Male","88323","11832","100155"
"National","free state","Private Health","Female","8676","3244","11920"
"National","free state","Private Health","Male","7010","2435","9445"
"National","free state","Public Health","Female","73516","24859","98375"
"National","free state","Public Health","Male","62006","17782","79788"
"National","gauteng","Private Health","Female","53768","25035","78803"
"National","gauteng","Private Health","Male","48535","21059","69594"
"National","gauteng","Public Health","Female","141059","37584","178643"
"National","gauteng","Public Health","Male","111008","27830","138838"
"National","kwazulu-natal","Private Health","Female","17565","8573","26138"
"National","kwazulu-natal","Private Health","Male","15725","7193","22918"
"National","kwazulu-natal","Public Health","Female","111425","21840","133265"
"National","kwazulu-natal","Public Health","Male","75733","14065","89798"
"National","limpopo","Private Health","Female","10052","3841","13893"
"National","limpopo","Private Health","Male","7988","2772","10760"
"National","limpopo","Public Health","Female","107937","25716","133653"
"National","limpopo","Public Health","Male","90284","19318","109602"
"National","mpumalanga","Private Health","Female","4037","1409","5446"
"National","mpumalanga","Private Health","Male","3482","1216","4698"
"National","mpumalanga","Public Health","Female","56115","11446","67561"
"National","mpumalanga","Public Health","Male","45724","8194","53918"
"National","northern cape","Private Health","Female","2115","884","2999"
"National","northern cape","Private Health","Male","1885","653","2538"
"National","northern cape","Public Health","Female","10900","2911","13811"
"National","northern cape","Public Health","Male","8758","2167","10925"
"National","north west","Private Health","Female","5180","2019","7199"
"National","north west","Private Health","Male","4653","1697","6350"
"National","north west","Public Health","Female","67456","14886","82342"
"National","north west","Public Health","Male","56323","10775","67098"
"National","western cape","Private Health","Female","23500","10512","34012"
"National","western cape","Private Health","Male","20842","8823","29665"
"National","western cape","Public Health","Female","46501","13821","60322"
"National","western cape","Public Health","Male","38382","11159","49541"
