"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","488153"
"kwazulu-natal","Private Health","1141068"
"western cape","Private Health","1757136"
"limpopo","Private Health","540054"
"northern cape","Public Health","523885"
"gauteng","Private Health","4161919"
"kwazulu-natal","Public Health","4014413"
"free state","Public Health","1623784"
"north west","Public Health","1577298"
"gauteng","Public Health","5257846"
"mpumalanga","Private Health","370135"
"mpumalanga","Public Health","1605377"
"northern cape","Private Health","142972"
"eastern cape","Private Health","633392"
"western cape","Public Health","3438681"
"limpopo","Public Health","2735759"
"free state","Private Health","356080"
"eastern cape","Public Health","3032275"
