"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","877723"
"Janssen Vaccines & Prevention B.V","free state","Adults","467264"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1449202"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1171360"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1036995"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","766482"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206656"
"Janssen Vaccines & Prevention B.V","north west","Adults","685691"
"Janssen Vaccines & Prevention B.V","western cape","Adults","722119"
"Pfizer","eastern cape","12-17 Years","37148"
"Pfizer","eastern cape","Adults","1065805"
"Pfizer","free state","12-17 Years","48320"
"Pfizer","free state","Adults","558505"
"Pfizer","gauteng","12-17 Years","111508"
"Pfizer","gauteng","Adults","3215061"
"Pfizer","kwazulu-natal","12-17 Years","51671"
"Pfizer","kwazulu-natal","Adults","1537723"
"Pfizer","limpopo","12-17 Years","51647"
"Pfizer","limpopo","Adults","832095"
"Pfizer","mpumalanga","12-17 Years","22265"
"Pfizer","mpumalanga","Adults","439510"
"Pfizer","northern cape","12-17 Years","6615"
"Pfizer","northern cape","Adults","182677"
"Pfizer","north west","12-17 Years","29377"
"Pfizer","north west","Adults","508991"
"Pfizer","western cape","12-17 Years","44315"
"Pfizer","western cape","Adults","1802762"
