"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","495631"
"kwazulu-natal","Private Health","1157573"
"western cape","Private Health","1784106"
"limpopo","Private Health","550080"
"northern cape","Public Health","528447"
"gauteng","Private Health","4230085"
"kwazulu-natal","Public Health","4069000"
"free state","Public Health","1651464"
"north west","Public Health","1601584"
"gauteng","Public Health","5330618"
"mpumalanga","Private Health","374680"
"mpumalanga","Public Health","1633607"
"northern cape","Private Health","145279"
"eastern cape","Private Health","642372"
"western cape","Public Health","3470429"
"limpopo","Public Health","2774653"
"free state","Private Health","362705"
"eastern cape","Public Health","3072864"
