"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","496635"
"kwazulu-natal","Private Health","1159170"
"western cape","Private Health","1787464"
"limpopo","Private Health","551247"
"northern cape","Public Health","529079"
"gauteng","Private Health","4237399"
"kwazulu-natal","Public Health","4075798"
"free state","Public Health","1654639"
"north west","Public Health","1604210"
"gauteng","Public Health","5338256"
"mpumalanga","Private Health","375203"
"mpumalanga","Public Health","1637685"
"northern cape","Private Health","145527"
"eastern cape","Private Health","643449"
"western cape","Public Health","3473836"
"limpopo","Public Health","2779408"
"free state","Private Health","363493"
"eastern cape","Public Health","3078562"
