"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","490409"
"kwazulu-natal","Private Health","1146416"
"western cape","Private Health","1765829"
"limpopo","Private Health","543423"
"northern cape","Public Health","525464"
"gauteng","Private Health","4183688"
"kwazulu-natal","Public Health","4035203"
"free state","Public Health","1634094"
"north west","Public Health","1586632"
"gauteng","Public Health","5285700"
"mpumalanga","Private Health","371668"
"mpumalanga","Public Health","1616090"
"northern cape","Private Health","143814"
"eastern cape","Private Health","636232"
"western cape","Public Health","3449469"
"limpopo","Public Health","2750089"
"free state","Private Health","358289"
"eastern cape","Public Health","3047334"
