"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","874217"
"Janssen Vaccines & Prevention B.V","free state","Adults","465167"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1440405"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1165911"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1033609"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","761868"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206158"
"Janssen Vaccines & Prevention B.V","north west","Adults","682823"
"Janssen Vaccines & Prevention B.V","western cape","Adults","720007"
"Pfizer","eastern cape","12-17 Years","34129"
"Pfizer","eastern cape","Adults","1060734"
"Pfizer","free state","12-17 Years","44043"
"Pfizer","free state","Adults","554988"
"Pfizer","gauteng","12-17 Years","100913"
"Pfizer","gauteng","Adults","3189830"
"Pfizer","kwazulu-natal","12-17 Years","47804"
"Pfizer","kwazulu-natal","Adults","1528254"
"Pfizer","limpopo","12-17 Years","46733"
"Pfizer","limpopo","Adults","827769"
"Pfizer","mpumalanga","12-17 Years","20330"
"Pfizer","mpumalanga","Adults","436511"
"Pfizer","northern cape","12-17 Years","6170"
"Pfizer","northern cape","Adults","181864"
"Pfizer","north west","12-17 Years","27446"
"Pfizer","north west","Adults","505625"
"Pfizer","western cape","12-17 Years","41718"
"Pfizer","western cape","Adults","1795940"
