"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","820733","0","75921","896654"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","445053","0","52098","497151"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1322149","0","130946","1453095"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1083824","0","103385","1187209"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1006853","0","75848","1082701"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","749929","0","64600","814529"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197751","0","15620","213371"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","665158","0","66815","731973"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","630380","0","76702","707082"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137123","0","65354","202477"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34173","0","17016","51189"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21857","0","7150","29007"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23457","0","8964","32421"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94401","0","61521","155922"
"Pfizer","National","eastern cape","Adults","1292863","1071743","135098","2499704"
"Pfizer","National","eastern cape","12-17 Years","221540","41570","0","263110"
"Pfizer","National","free state","12-17 Years","152818","51959","0","204777"
"Pfizer","National","free state","Adults","647769","562082","83696","1293547"
"Pfizer","National","gauteng","12-17 Years","356502","119446","3","475951"
"Pfizer","National","gauteng","Adults","3786108","3239284","465706","7491098"
"Pfizer","National","kwazulu-natal","Adults","1888685","1549536","223634","3661855"
"Pfizer","National","kwazulu-natal","12-17 Years","224305","57384","2","281691"
"Pfizer","National","limpopo","Adults","1005099","836551","99010","1940660"
"Pfizer","National","limpopo","12-17 Years","218621","54755","0","273376"
"Pfizer","National","mpumalanga","12-17 Years","113000","24834","0","137834"
"Pfizer","National","mpumalanga","Adults","543964","443186","61130","1048280"
"Pfizer","National","northern cape","12-17 Years","23783","7116","0","30899"
"Pfizer","National","northern cape","Adults","215897","183616","20444","419957"
"Pfizer","National","north west","12-17 Years","136255","32052","0","168307"
"Pfizer","National","north west","Adults","599331","512528","70862","1182721"
"Pfizer","National","western cape","12-17 Years","129537","46462","1","176000"
"Pfizer","National","western cape","Adults","2076308","1810622","356792","4243722"
