"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","874233"
"Janssen Vaccines & Prevention B.V","free state","Adults","465172"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1440617"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1166043"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1033618"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","761948"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206184"
"Janssen Vaccines & Prevention B.V","north west","Adults","683036"
"Janssen Vaccines & Prevention B.V","western cape","Adults","720016"
"Pfizer","eastern cape","12-17 Years","34146"
"Pfizer","eastern cape","Adults","1060792"
"Pfizer","free state","12-17 Years","44031"
"Pfizer","free state","Adults","555022"
"Pfizer","gauteng","12-17 Years","101014"
"Pfizer","gauteng","Adults","3190178"
"Pfizer","kwazulu-natal","12-17 Years","47869"
"Pfizer","kwazulu-natal","Adults","1528453"
"Pfizer","limpopo","12-17 Years","46717"
"Pfizer","limpopo","Adults","827805"
"Pfizer","mpumalanga","12-17 Years","20357"
"Pfizer","mpumalanga","Adults","436533"
"Pfizer","northern cape","12-17 Years","6173"
"Pfizer","northern cape","Adults","181888"
"Pfizer","north west","12-17 Years","27523"
"Pfizer","north west","Adults","505703"
"Pfizer","western cape","12-17 Years","41707"
"Pfizer","western cape","Adults","1796014"
