"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","820128","0","74981","895109"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","444723","0","51457","496180"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1320571","0","129409","1449980"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1082788","0","102106","1184894"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1006251","0","74598","1080849"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","748634","0","63550","812184"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197612","0","15225","212837"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","664708","0","65881","730589"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","629900","0","75545","705445"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137113","0","65352","202465"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34173","0","17016","51189"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21855","0","7150","29005"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23457","0","8964","32421"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94401","0","61521","155922"
"Pfizer","National","eastern cape","Adults","1292267","1070859","133193","2496319"
"Pfizer","National","eastern cape","12-17 Years","220701","40650","0","261351"
"Pfizer","National","free state","12-17 Years","152211","51138","0","203349"
"Pfizer","National","free state","Adults","647415","561502","82335","1291252"
"Pfizer","National","gauteng","12-17 Years","355903","118428","3","474334"
"Pfizer","National","gauteng","Adults","3784209","3235942","459790","7479941"
"Pfizer","National","kwazulu-natal","Adults","1887251","1547578","221075","3655904"
"Pfizer","National","kwazulu-natal","12-17 Years","223092","55647","2","278741"
"Pfizer","National","limpopo","Adults","1004641","835964","97642","1938247"
"Pfizer","National","limpopo","12-17 Years","218091","54353","0","272444"
"Pfizer","National","mpumalanga","12-17 Years","112099","24336","0","136435"
"Pfizer","National","mpumalanga","Adults","543498","442621","60101","1046220"
"Pfizer","National","northern cape","12-17 Years","23741","6992","0","30733"
"Pfizer","National","northern cape","Adults","215751","183464","20042","419257"
"Pfizer","National","north west","12-17 Years","135319","31312","0","166631"
"Pfizer","National","north west","Adults","598961","511975","69816","1180752"
"Pfizer","National","western cape","12-17 Years","129500","46210","2","175712"
"Pfizer","National","western cape","Adults","2075510","1809336","352835","4237681"
