"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","821000","0","76220","897220"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","445121","0","52174","497295"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1322798","0","131665","1454463"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1084278","0","103877","1188155"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1007038","0","76099","1083137"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","750326","0","64964","815290"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197871","0","15858","213729"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","665389","0","67363","732752"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","630579","0","77029","707608"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137125","0","65354","202479"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34173","0","17016","51189"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21857","0","7150","29007"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23457","0","8964","32421"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94401","0","61521","155922"
"Pfizer","National","eastern cape","Adults","1293155","1072130","135885","2501170"
"Pfizer","National","eastern cape","12-17 Years","221593","41953","0","263546"
"Pfizer","National","free state","12-17 Years","152811","52024","0","204835"
"Pfizer","National","free state","Adults","647871","562179","83945","1293995"
"Pfizer","National","gauteng","12-17 Years","356570","119879","3","476452"
"Pfizer","National","gauteng","Adults","3786940","3240647","468084","7495671"
"Pfizer","National","kwazulu-natal","Adults","1889205","1550166","224701","3664072"
"Pfizer","National","kwazulu-natal","12-17 Years","224517","57700","3","282220"
"Pfizer","National","limpopo","Adults","1005280","836679","99211","1941170"
"Pfizer","National","limpopo","12-17 Years","218614","54830","0","273444"
"Pfizer","National","mpumalanga","12-17 Years","113136","24941","0","138077"
"Pfizer","National","mpumalanga","Adults","544119","443334","61421","1048874"
"Pfizer","National","northern cape","12-17 Years","23821","7179","0","31000"
"Pfizer","National","northern cape","Adults","215993","183733","20665","420391"
"Pfizer","National","north west","12-17 Years","136532","32200","0","168732"
"Pfizer","National","north west","Adults","599493","512722","71202","1183417"
"Pfizer","National","western cape","12-17 Years","129565","46552","1","176118"
"Pfizer","National","western cape","Adults","2076561","1811033","358210","4245804"
