"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","878415"
"Janssen Vaccines & Prevention B.V","free state","Adults","467638"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1451511"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1172735"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1037584"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","767335"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206725"
"Janssen Vaccines & Prevention B.V","north west","Adults","686300"
"Janssen Vaccines & Prevention B.V","western cape","Adults","722650"
"Pfizer","eastern cape","12-17 Years","37796"
"Pfizer","eastern cape","Adults","1066790"
"Pfizer","free state","12-17 Years","49232"
"Pfizer","free state","Adults","559194"
"Pfizer","gauteng","12-17 Years","114599"
"Pfizer","gauteng","Adults","3221156"
"Pfizer","kwazulu-natal","12-17 Years","52739"
"Pfizer","kwazulu-natal","Adults","1540091"
"Pfizer","limpopo","12-17 Years","52479"
"Pfizer","limpopo","Adults","833002"
"Pfizer","mpumalanga","12-17 Years","22713"
"Pfizer","mpumalanga","Adults","440185"
"Pfizer","northern cape","12-17 Years","6725"
"Pfizer","northern cape","Adults","182883"
"Pfizer","north west","12-17 Years","29811"
"Pfizer","north west","Adults","509789"
"Pfizer","western cape","12-17 Years","45091"
"Pfizer","western cape","Adults","1804569"
