"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","881581"
"Janssen Vaccines & Prevention B.V","free state","Adults","469438"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1459272"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1178290"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1041026"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","771786"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207213"
"Janssen Vaccines & Prevention B.V","north west","Adults","688615"
"Janssen Vaccines & Prevention B.V","western cape","Adults","724781"
"Pfizer","eastern cape","12-17 Years","41570"
"Pfizer","eastern cape","Adults","1071744"
"Pfizer","free state","12-17 Years","51959"
"Pfizer","free state","Adults","562082"
"Pfizer","gauteng","12-17 Years","119446"
"Pfizer","gauteng","Adults","3239287"
"Pfizer","kwazulu-natal","12-17 Years","57384"
"Pfizer","kwazulu-natal","Adults","1549537"
"Pfizer","limpopo","12-17 Years","54755"
"Pfizer","limpopo","Adults","836551"
"Pfizer","mpumalanga","12-17 Years","24834"
"Pfizer","mpumalanga","Adults","443186"
"Pfizer","northern cape","12-17 Years","7116"
"Pfizer","northern cape","Adults","183616"
"Pfizer","north west","12-17 Years","32052"
"Pfizer","north west","Adults","512528"
"Pfizer","western cape","12-17 Years","46462"
"Pfizer","western cape","Adults","1810625"
