"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10675","4359","15034"
"National","eastern cape","Private Health","Male","8863","3338","12201"
"National","eastern cape","Public Health","Female","110114","18027","128141"
"National","eastern cape","Public Health","Male","88435","12005","100440"
"National","free state","Private Health","Female","8695","3335","12030"
"National","free state","Private Health","Male","7030","2493","9523"
"National","free state","Public Health","Female","73594","25257","98851"
"National","free state","Public Health","Male","62075","18097","80172"
"National","gauteng","Private Health","Female","53912","25582","79494"
"National","gauteng","Private Health","Male","48670","21465","70135"
"National","gauteng","Public Health","Female","141307","38520","179827"
"National","gauteng","Public Health","Male","111217","28473","139690"
"National","kwazulu-natal","Private Health","Female","17588","8702","26290"
"National","kwazulu-natal","Private Health","Male","15755","7318","23073"
"National","kwazulu-natal","Public Health","Female","111688","22249","133937"
"National","kwazulu-natal","Public Health","Male","75881","14281","90162"
"National","limpopo","Private Health","Female","10107","3920","14027"
"National","limpopo","Private Health","Male","8031","2850","10881"
"National","limpopo","Public Health","Female","108125","26073","134198"
"National","limpopo","Public Health","Male","90482","19565","110047"
"National","mpumalanga","Private Health","Female","4040","1431","5471"
"National","mpumalanga","Private Health","Male","3488","1239","4727"
"National","mpumalanga","Public Health","Female","56219","11639","67858"
"National","mpumalanga","Public Health","Male","45929","8361","54290"
"National","northern cape","Private Health","Female","2123","912","3035"
"National","northern cape","Private Health","Male","1893","669","2562"
"National","northern cape","Public Health","Female","10913","2939","13852"
"National","northern cape","Public Health","Male","8767","2189","10956"
"National","north west","Private Health","Female","5201","2061","7262"
"National","north west","Private Health","Male","4651","1722","6373"
"National","north west","Public Health","Female","67555","15090","82645"
"National","north west","Public Health","Male","56414","10872","67286"
"National","western cape","Private Health","Female","23548","10691","34239"
"National","western cape","Private Health","Male","20887","8970","29857"
"National","western cape","Public Health","Female","46613","14002","60615"
"National","western cape","Public Health","Male","38464","11355","49819"
