"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","497663"
"kwazulu-natal","Private Health","1160852"
"western cape","Private Health","1790497"
"limpopo","Private Health","552386"
"northern cape","Public Health","529903"
"gauteng","Private Health","4244714"
"kwazulu-natal","Public Health","4083015"
"free state","Public Health","1658639"
"north west","Public Health","1607835"
"gauteng","Public Health","5346290"
"mpumalanga","Private Health","375603"
"mpumalanga","Public Health","1642281"
"northern cape","Private Health","145854"
"eastern cape","Private Health","644596"
"western cape","Public Health","3477718"
"limpopo","Public Health","2784728"
"free state","Private Health","364307"
"eastern cape","Public Health","3085037"
