"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10641","4229","14870"
"National","eastern cape","Private Health","Male","8845","3222","12067"
"National","eastern cape","Public Health","Female","109699","17368","127067"
"National","eastern cape","Public Health","Male","88136","11615","99751"
"National","free state","Private Health","Female","8650","3171","11821"
"National","free state","Private Health","Male","7000","2396","9396"
"National","free state","Public Health","Female","73371","24346","97717"
"National","free state","Public Health","Male","61913","17460","79373"
"National","gauteng","Private Health","Female","53658","24595","78253"
"National","gauteng","Private Health","Male","48423","20699","69122"
"National","gauteng","Public Health","Female","140813","36420","177233"
"National","gauteng","Public Health","Male","110774","27109","137883"
"National","kwazulu-natal","Private Health","Female","17540","8473","26013"
"National","kwazulu-natal","Private Health","Male","15711","7094","22805"
"National","kwazulu-natal","Public Health","Female","111178","21387","132565"
"National","kwazulu-natal","Public Health","Male","75562","13822","89384"
"National","limpopo","Private Health","Female","10009","3790","13799"
"National","limpopo","Private Health","Male","7949","2730","10679"
"National","limpopo","Public Health","Female","107565","25116","132681"
"National","limpopo","Public Health","Male","89971","18910","108881"
"National","mpumalanga","Private Health","Female","4030","1398","5428"
"National","mpumalanga","Private Health","Male","3461","1193","4654"
"National","mpumalanga","Public Health","Female","55972","11198","67170"
"National","mpumalanga","Public Health","Male","45497","7999","53496"
"National","northern cape","Private Health","Female","2108","877","2985"
"National","northern cape","Private Health","Male","1882","649","2531"
"National","northern cape","Public Health","Female","10881","2869","13750"
"National","northern cape","Public Health","Male","8747","2130","10877"
"National","north west","Private Health","Female","5163","1983","7146"
"National","north west","Private Health","Male","4637","1667","6304"
"National","north west","Public Health","Female","67323","14658","81981"
"National","north west","Public Health","Male","56224","10626","66850"
"National","western cape","Private Health","Female","23463","10356","33819"
"National","western cape","Private Health","Male","20799","8675","29474"
"National","western cape","Public Health","Female","46368","13594","59962"
"National","western cape","Public Health","Male","38297","10958","49255"
