"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","494693"
"kwazulu-natal","Private Health","1155542"
"western cape","Private Health","1780381"
"limpopo","Private Health","548817"
"northern cape","Public Health","527988"
"gauteng","Private Health","4222086"
"kwazulu-natal","Public Health","4062025"
"free state","Public Health","1648311"
"north west","Public Health","1599473"
"gauteng","Public Health","5324160"
"mpumalanga","Private Health","374112"
"mpumalanga","Public Health","1630644"
"northern cape","Private Health","145008"
"eastern cape","Private Health","641139"
"western cape","Public Health","3467498"
"limpopo","Public Health","2769672"
"free state","Private Health","361762"
"eastern cape","Public Health","3067893"
