"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10612","4110","14722"
"National","eastern cape","Private Health","Male","8820","3122","11942"
"National","eastern cape","Public Health","Female","108987","16556","125543"
"National","eastern cape","Public Health","Male","87734","11135","98869"
"National","free state","Private Health","Female","8601","3016","11617"
"National","free state","Private Health","Male","6959","2296","9255"
"National","free state","Public Health","Female","73135","23142","96277"
"National","free state","Public Health","Male","61708","16651","78359"
"National","gauteng","Private Health","Female","53456","23706","77162"
"National","gauteng","Private Health","Male","48259","20028","68287"
"National","gauteng","Public Health","Female","140243","34192","174435"
"National","gauteng","Public Health","Male","110267","25681","135948"
"National","kwazulu-natal","Private Health","Female","17495","8253","25748"
"National","kwazulu-natal","Private Health","Male","15699","6917","22616"
"National","kwazulu-natal","Public Health","Female","110522","20365","130887"
"National","kwazulu-natal","Public Health","Male","75226","13298","88524"
"National","limpopo","Private Health","Female","9940","3673","13613"
"National","limpopo","Private Health","Male","7896","2637","10533"
"National","limpopo","Public Health","Female","106691","23752","130443"
"National","limpopo","Public Health","Male","89209","17918","107127"
"National","mpumalanga","Private Health","Female","4008","1336","5344"
"National","mpumalanga","Private Health","Male","3444","1167","4611"
"National","mpumalanga","Public Health","Female","55637","10720","66357"
"National","mpumalanga","Public Health","Male","44957","7634","52591"
"National","northern cape","Private Health","Female","2096","849","2945"
"National","northern cape","Private Health","Male","1879","628","2507"
"National","northern cape","Public Health","Female","10836","2723","13559"
"National","northern cape","Public Health","Male","8732","2062","10794"
"National","north west","Private Health","Female","5132","1894","7026"
"National","north west","Private Health","Male","4612","1611","6223"
"National","north west","Public Health","Female","67077","14145","81222"
"National","north west","Public Health","Male","56014","10312","66326"
"National","western cape","Private Health","Female","23393","10076","33469"
"National","western cape","Private Health","Male","20743","8425","29168"
"National","western cape","Public Health","Female","46201","13240","59441"
"National","western cape","Public Health","Male","38138","10639","48777"
