"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","880316"
"Janssen Vaccines & Prevention B.V","free state","Adults","468729"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1456086"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1176189"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1039673"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","769401"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206978"
"Janssen Vaccines & Prevention B.V","north west","Adults","687677"
"Janssen Vaccines & Prevention B.V","western cape","Adults","723875"
"Pfizer","eastern cape","12-17 Years","39502"
"Pfizer","eastern cape","Adults","1069873"
"Pfizer","free state","12-17 Years","50494"
"Pfizer","free state","Adults","561013"
"Pfizer","gauteng","12-17 Years","117519"
"Pfizer","gauteng","Adults","3232383"
"Pfizer","kwazulu-natal","12-17 Years","54483"
"Pfizer","kwazulu-natal","Adults","1545839"
"Pfizer","limpopo","12-17 Years","54136"
"Pfizer","limpopo","Adults","835302"
"Pfizer","mpumalanga","12-17 Years","23705"
"Pfizer","mpumalanga","Adults","442020"
"Pfizer","northern cape","12-17 Years","6922"
"Pfizer","northern cape","Adults","183341"
"Pfizer","north west","12-17 Years","30640"
"Pfizer","north west","Adults","511494"
"Pfizer","western cape","12-17 Years","46016"
"Pfizer","western cape","Adults","1808199"
