"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","815967","0","67905","883872"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","442339","0","46807","489146"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1309837","0","119440","1429277"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1075673","0","93249","1168922"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1002045","0","65415","1067460"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","743442","0","57622","801064"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197096","0","13870","210966"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","661552","0","59923","721475"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","627100","0","71139","698239"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24384","0","12199","36583"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137085","0","65348","202433"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94464","0","40019","134483"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34171","0","17016","51187"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21847","0","7149","28996"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23455","0","8964","32419"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94395","0","61521","155916"
"Pfizer","National","eastern cape","Adults","1288310","1064485","117648","2470443"
"Pfizer","National","eastern cape","12-17 Years","217321","36434","0","253755"
"Pfizer","National","free state","12-17 Years","150934","47373","0","198307"
"Pfizer","National","free state","Adults","644867","557701","72643","1275211"
"Pfizer","National","gauteng","12-17 Years","353668","108823","2","462493"
"Pfizer","National","gauteng","Adults","3770541","3209074","420805","7400420"
"Pfizer","National","kwazulu-natal","Adults","1878867","1535569","204882","3619318"
"Pfizer","National","kwazulu-natal","12-17 Years","219991","50776","2","270769"
"Pfizer","National","limpopo","Adults","1001645","831105","86012","1918762"
"Pfizer","National","limpopo","12-17 Years","215494","50546","0","266040"
"Pfizer","National","mpumalanga","12-17 Years","108960","21788","0","130748"
"Pfizer","National","mpumalanga","Adults","540463","438793","53519","1032775"
"Pfizer","National","northern cape","12-17 Years","23618","6525","0","30143"
"Pfizer","National","northern cape","Adults","215066","182486","18050","415602"
"Pfizer","National","north west","12-17 Years","133347","28934","0","162281"
"Pfizer","National","north west","Adults","596636","508236","61805","1166677"
"Pfizer","National","western cape","12-17 Years","128927","43583","2","172512"
"Pfizer","National","western cape","Adults","2070569","1800860","327668","4199097"
