"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","879673"
"Janssen Vaccines & Prevention B.V","free state","Adults","468357"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1454523"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1175144"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1038857"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","768638"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206877"
"Janssen Vaccines & Prevention B.V","north west","Adults","687179"
"Janssen Vaccines & Prevention B.V","western cape","Adults","723474"
"Pfizer","eastern cape","12-17 Years","38790"
"Pfizer","eastern cape","Adults","1068750"
"Pfizer","free state","12-17 Years","50034"
"Pfizer","free state","Adults","560366"
"Pfizer","gauteng","12-17 Years","116798"
"Pfizer","gauteng","Adults","3228773"
"Pfizer","kwazulu-natal","12-17 Years","53826"
"Pfizer","kwazulu-natal","Adults","1544013"
"Pfizer","limpopo","12-17 Years","53724"
"Pfizer","limpopo","Adults","834523"
"Pfizer","mpumalanga","12-17 Years","23248"
"Pfizer","mpumalanga","Adults","441363"
"Pfizer","northern cape","12-17 Years","6819"
"Pfizer","northern cape","Adults","183163"
"Pfizer","north west","12-17 Years","30167"
"Pfizer","north west","Adults","510856"
"Pfizer","western cape","12-17 Years","45825"
"Pfizer","western cape","Adults","1807022"
