"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","875057"
"Janssen Vaccines & Prevention B.V","free state","Adults","465665"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1442463"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1167429"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1034417"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","762960"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206269"
"Janssen Vaccines & Prevention B.V","north west","Adults","683585"
"Janssen Vaccines & Prevention B.V","western cape","Adults","720481"
"Pfizer","eastern cape","12-17 Years","34923"
"Pfizer","eastern cape","Adults","1061899"
"Pfizer","free state","12-17 Years","45105"
"Pfizer","free state","Adults","555840"
"Pfizer","gauteng","12-17 Years","103607"
"Pfizer","gauteng","Adults","3196267"
"Pfizer","kwazulu-natal","12-17 Years","48833"
"Pfizer","kwazulu-natal","Adults","1530924"
"Pfizer","limpopo","12-17 Years","47980"
"Pfizer","limpopo","Adults","828910"
"Pfizer","mpumalanga","12-17 Years","20857"
"Pfizer","mpumalanga","Adults","437289"
"Pfizer","northern cape","12-17 Years","6262"
"Pfizer","northern cape","Adults","182091"
"Pfizer","north west","12-17 Years","27962"
"Pfizer","north west","Adults","506510"
"Pfizer","western cape","12-17 Years","42380"
"Pfizer","western cape","Adults","1797573"
