"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10619","4029","14648"
"National","eastern cape","Private Health","Male","8803","3055","11858"
"National","eastern cape","Public Health","Female","108664","16145","124809"
"National","eastern cape","Public Health","Male","87517","10900","98417"
"National","free state","Private Health","Female","8573","2945","11518"
"National","free state","Private Health","Male","6941","2246","9187"
"National","free state","Public Health","Female","73060","22580","95640"
"National","free state","Public Health","Male","61641","16272","77913"
"National","gauteng","Private Health","Female","53377","23227","76604"
"National","gauteng","Private Health","Male","48192","19674","67866"
"National","gauteng","Public Health","Female","140011","33059","173070"
"National","gauteng","Public Health","Male","110042","24953","134995"
"National","kwazulu-natal","Private Health","Female","17481","8121","25602"
"National","kwazulu-natal","Private Health","Male","15688","6829","22517"
"National","kwazulu-natal","Public Health","Female","109730","19850","129580"
"National","kwazulu-natal","Public Health","Male","74617","13004","87621"
"National","limpopo","Private Health","Female","9892","3598","13490"
"National","limpopo","Private Health","Male","7867","2577","10444"
"National","limpopo","Public Health","Female","106434","23108","129542"
"National","limpopo","Public Health","Male","88938","17450","106388"
"National","mpumalanga","Private Health","Female","4009","1306","5315"
"National","mpumalanga","Private Health","Male","3439","1141","4580"
"National","mpumalanga","Public Health","Female","55496","10452","65948"
"National","mpumalanga","Public Health","Male","44736","7431","52167"
"National","northern cape","Private Health","Female","2094","837","2931"
"National","northern cape","Private Health","Male","1873","623","2496"
"National","northern cape","Public Health","Female","10840","2681","13521"
"National","northern cape","Public Health","Male","8731","2029","10760"
"National","north west","Private Health","Female","5109","1855","6964"
"National","north west","Private Health","Male","4601","1573","6174"
"National","north west","Public Health","Female","66974","13894","80868"
"National","north west","Public Health","Male","55936","10124","66060"
"National","western cape","Private Health","Female","23355","9903","33258"
"National","western cape","Private Health","Male","20717","8288","29005"
"National","western cape","Public Health","Female","46177","13055","59232"
"National","western cape","Public Health","Male","38084","10472","48556"
