"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","878346"
"Janssen Vaccines & Prevention B.V","free state","Adults","467612"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1451059"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1172516"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1037520"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","767251"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206716"
"Janssen Vaccines & Prevention B.V","north west","Adults","686141"
"Janssen Vaccines & Prevention B.V","western cape","Adults","722594"
"Pfizer","eastern cape","12-17 Years","37729"
"Pfizer","eastern cape","Adults","1066659"
"Pfizer","free state","12-17 Years","49182"
"Pfizer","free state","Adults","559124"
"Pfizer","gauteng","12-17 Years","114040"
"Pfizer","gauteng","Adults","3219669"
"Pfizer","kwazulu-natal","12-17 Years","52550"
"Pfizer","kwazulu-natal","Adults","1539473"
"Pfizer","limpopo","12-17 Years","52408"
"Pfizer","limpopo","Adults","832841"
"Pfizer","mpumalanga","12-17 Years","22670"
"Pfizer","mpumalanga","Adults","440064"
"Pfizer","northern cape","12-17 Years","6709"
"Pfizer","northern cape","Adults","182848"
"Pfizer","north west","12-17 Years","29745"
"Pfizer","north west","Adults","509598"
"Pfizer","western cape","12-17 Years","45018"
"Pfizer","western cape","Adults","1804316"
