"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","876812"
"Janssen Vaccines & Prevention B.V","free state","Adults","466723"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1446922"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1170137"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1036216"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","765289"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206557"
"Janssen Vaccines & Prevention B.V","north west","Adults","685007"
"Janssen Vaccines & Prevention B.V","western cape","Adults","721495"
"Pfizer","eastern cape","12-17 Years","36434"
"Pfizer","eastern cape","Adults","1064485"
"Pfizer","free state","12-17 Years","47373"
"Pfizer","free state","Adults","557701"
"Pfizer","gauteng","12-17 Years","108823"
"Pfizer","gauteng","Adults","3209076"
"Pfizer","kwazulu-natal","12-17 Years","50776"
"Pfizer","kwazulu-natal","Adults","1535569"
"Pfizer","limpopo","12-17 Years","50546"
"Pfizer","limpopo","Adults","831105"
"Pfizer","mpumalanga","12-17 Years","21788"
"Pfizer","mpumalanga","Adults","438793"
"Pfizer","northern cape","12-17 Years","6525"
"Pfizer","northern cape","Adults","182486"
"Pfizer","north west","12-17 Years","28934"
"Pfizer","north west","Adults","508236"
"Pfizer","western cape","12-17 Years","43583"
"Pfizer","western cape","Adults","1800862"
