"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","491720"
"kwazulu-natal","Private Health","1148766"
"western cape","Private Health","1769948"
"limpopo","Private Health","545035"
"northern cape","Public Health","526475"
"gauteng","Private Health","4194867"
"kwazulu-natal","Public Health","4044726"
"free state","Public Health","1639733"
"north west","Public Health","1591132"
"gauteng","Public Health","5299756"
"mpumalanga","Private Health","372346"
"mpumalanga","Public Health","1621237"
"northern cape","Private Health","144152"
"eastern cape","Private Health","637714"
"western cape","Public Health","3455816"
"limpopo","Public Health","2758414"
"free state","Private Health","359514"
"eastern cape","Public Health","3055421"
