"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","813388","0","63171","876559"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","440788","0","43391","484179"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1303547","0","113054","1416601"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1071579","0","88015","1159594"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","999449","0","60028","1059477"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","740101","0","53503","793604"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","196723","0","13150","209873"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","659582","0","56225","715807"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","625624","0","68261","693885"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24384","0","12199","36583"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137070","0","65347","202417"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94464","0","40019","134483"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34169","0","17016","51185"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21847","0","7148","28995"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23454","0","8964","32418"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94392","0","61520","155912"
"Pfizer","National","eastern cape","Adults","1286190","1060792","107670","2454652"
"Pfizer","National","eastern cape","12-17 Years","215520","34146","0","249666"
"Pfizer","National","free state","12-17 Years","150174","44031","0","194205"
"Pfizer","National","free state","Adults","643582","555022","66403","1265007"
"Pfizer","National","gauteng","12-17 Years","351557","101014","2","452573"
"Pfizer","National","gauteng","Adults","3762915","3190176","397018","7350109"
"Pfizer","National","kwazulu-natal","Adults","1874363","1528453","194387","3597203"
"Pfizer","National","kwazulu-natal","12-17 Years","217545","47869","2","265416"
"Pfizer","National","limpopo","Adults","999913","827805","77746","1905464"
"Pfizer","National","limpopo","12-17 Years","213048","46717","0","259765"
"Pfizer","National","mpumalanga","12-17 Years","107660","20357","0","128017"
"Pfizer","National","mpumalanga","Adults","539289","436533","49448","1025270"
"Pfizer","National","northern cape","12-17 Years","23533","6173","0","29706"
"Pfizer","National","northern cape","Adults","214739","181888","16928","413555"
"Pfizer","National","north west","12-17 Years","132616","27523","0","160139"
"Pfizer","National","north west","Adults","595385","505703","57094","1158182"
"Pfizer","National","western cape","12-17 Years","128279","41707","2","169988"
"Pfizer","National","western cape","Adults","2067909","1796013","312309","4176231"
