"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","881848"
"Janssen Vaccines & Prevention B.V","free state","Adults","469506"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1459923"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1178744"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1041211"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","772183"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207333"
"Janssen Vaccines & Prevention B.V","north west","Adults","688846"
"Janssen Vaccines & Prevention B.V","western cape","Adults","724980"
"Pfizer","eastern cape","12-17 Years","41953"
"Pfizer","eastern cape","Adults","1072131"
"Pfizer","free state","12-17 Years","52024"
"Pfizer","free state","Adults","562179"
"Pfizer","gauteng","12-17 Years","119879"
"Pfizer","gauteng","Adults","3240650"
"Pfizer","kwazulu-natal","12-17 Years","57700"
"Pfizer","kwazulu-natal","Adults","1550167"
"Pfizer","limpopo","12-17 Years","54830"
"Pfizer","limpopo","Adults","836679"
"Pfizer","mpumalanga","12-17 Years","24941"
"Pfizer","mpumalanga","Adults","443334"
"Pfizer","northern cape","12-17 Years","7179"
"Pfizer","northern cape","Adults","183733"
"Pfizer","north west","12-17 Years","32200"
"Pfizer","north west","Adults","512722"
"Pfizer","western cape","12-17 Years","46552"
"Pfizer","western cape","Adults","1811036"
