"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10403","5097","15500"
"National","eastern cape","Private Health","Male","8821","3960","12781"
"National","eastern cape","Public Health","Female","145006","53833","198839"
"National","eastern cape","Public Health","Male","119007","38078","157085"
"National","free state","Private Health","Female","9193","4628","13821"
"National","free state","Private Health","Male","7563","3557","11120"
"National","free state","Public Health","Female","83673","40474","124147"
"National","free state","Public Health","Male","71540","30381","101921"
"National","gauteng","Private Health","Female","53456","30334","83790"
"National","gauteng","Private Health","Male","49125","26009","75134"
"National","gauteng","Public Health","Female","162612","65741","228353"
"National","gauteng","Public Health","Male","128544","48295","176839"
"National","kwazulu-natal","Private Health","Female","17036","9634","26670"
"National","kwazulu-natal","Private Health","Male","15450","8256","23706"
"National","kwazulu-natal","Public Health","Female","156951","67861","224812"
"National","kwazulu-natal","Public Health","Male","106934","41259","148193"
"National","limpopo","Private Health","Female","11801","5199","17000"
"National","limpopo","Private Health","Male","9184","3622","12806"
"National","limpopo","Public Health","Female","142356","48728","191084"
"National","limpopo","Public Health","Male","123269","36408","159677"
"National","mpumalanga","Private Health","Female","3989","1724","5713"
"National","mpumalanga","Private Health","Male","3472","1519","4991"
"National","mpumalanga","Public Health","Female","76225","26372","102597"
"National","mpumalanga","Public Health","Male","63069","18283","81352"
"National","northern cape","Private Health","Female","2119","1057","3176"
"National","northern cape","Private Health","Male","1948","815","2763"
"National","northern cape","Public Health","Female","17851","6817","24668"
"National","northern cape","Public Health","Male","14012","4988","19000"
"National","north west","Private Health","Female","5212","2423","7635"
"National","north west","Private Health","Male","4723","2038","6761"
"National","north west","Public Health","Female","78665","28015","106680"
"National","north west","Public Health","Male","65201","20327","85528"
"National","western cape","Private Health","Female","23470","12716","36186"
"National","western cape","Private Health","Male","21150","10990","32140"
"National","western cape","Public Health","Female","47172","15989","63161"
"National","western cape","Public Health","Male","39364","13117","52481"
