"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534286"
"kwazulu-natal","Private Health","1229889"
"western cape","Private Health","1910648"
"limpopo","Private Health","601378"
"northern cape","Public Health","603055"
"gauteng","Private Health","4543083"
"kwazulu-natal","Public Health","4605431"
"free state","Public Health","1843747"
"north west","Public Health","1775423"
"gauteng","Public Health","5789548"
"mpumalanga","Private Health","404283"
"mpumalanga","Public Health","1899127"
"northern cape","Private Health","156795"
"eastern cape","Private Health","689273"
"western cape","Public Health","3656221"
"limpopo","Public Health","3107515"
"free state","Private Health","397882"
"eastern cape","Public Health","3477575"
