"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","916930"
"Janssen Vaccines & Prevention B.V","free state","Adults","486998"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1544291"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1243380"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1078895"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","828358"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215919"
"Janssen Vaccines & Prevention B.V","north west","Adults","713372"
"Janssen Vaccines & Prevention B.V","western cape","Adults","750355"
"Pfizer","eastern cape","12-17 Years","100968"
"Pfizer","eastern cape","Adults","1126752"
"Pfizer","free state","12-17 Years","79040"
"Pfizer","free state","Adults","592924"
"Pfizer","gauteng","12-17 Years","170379"
"Pfizer","gauteng","Adults","3388384"
"Pfizer","kwazulu-natal","12-17 Years","127010"
"Pfizer","kwazulu-natal","Adults","1649125"
"Pfizer","limpopo","12-17 Years","93957"
"Pfizer","limpopo","Adults","877500"
"Pfizer","mpumalanga","12-17 Years","47898"
"Pfizer","mpumalanga","Adults","473626"
"Pfizer","northern cape","12-17 Years","13677"
"Pfizer","northern cape","Adults","193968"
"Pfizer","north west","12-17 Years","52803"
"Pfizer","north west","Adults","539324"
"Pfizer","western cape","12-17 Years","52812"
"Pfizer","western cape","Adults","1862519"
