"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","20"
"eastern cape","Public Health","690"
"free state","Private Health","26"
"free state","Public Health","451"
"gauteng","Private Health","309"
"gauteng","Public Health","1196"
"kwazulu-natal","Private Health","20"
"kwazulu-natal","Public Health","924"
"limpopo","Private Health","24"
"limpopo","Public Health","862"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","666"
"northern cape","Private Health","2"
"northern cape","Public Health","223"
"north west","Private Health","29"
"north west","Public Health","464"
"western cape","Private Health","18"
"western cape","Public Health","449"
