"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","67"
"Janssen Vaccines & Prevention B.V","free state","Adults","22"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","331"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","144"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","70"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","94"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","30"
"Janssen Vaccines & Prevention B.V","north west","Adults","82"
"Janssen Vaccines & Prevention B.V","western cape","Adults","81"
"Pfizer","eastern cape","12-17 Years","88"
"Pfizer","eastern cape","Adults","111"
"Pfizer","free state","12-17 Years","89"
"Pfizer","free state","Adults","73"
"Pfizer","gauteng","12-17 Years","43"
"Pfizer","gauteng","Adults","293"
"Pfizer","kwazulu-natal","12-17 Years","67"
"Pfizer","kwazulu-natal","Adults","188"
"Pfizer","limpopo","12-17 Years","181"
"Pfizer","limpopo","Adults","75"
"Pfizer","mpumalanga","12-17 Years","203"
"Pfizer","mpumalanga","Adults","70"
"Pfizer","northern cape","12-17 Years","23"
"Pfizer","northern cape","Adults","41"
"Pfizer","north west","12-17 Years","18"
"Pfizer","north west","Adults","73"
"Pfizer","western cape","12-17 Years","53"
"Pfizer","western cape","Adults","81"
