"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","88"
"eastern cape","Public Health","2581"
"free state","Private Health","57"
"free state","Public Health","762"
"gauteng","Private Health","547"
"gauteng","Public Health","1497"
"kwazulu-natal","Private Health","171"
"kwazulu-natal","Public Health","1912"
"limpopo","Private Health","291"
"limpopo","Public Health","1317"
"mpumalanga","Private Health","64"
"mpumalanga","Public Health","982"
"northern cape","Private Health","29"
"northern cape","Public Health","141"
"north west","Private Health","50"
"north west","Public Health","284"
"western cape","Private Health","244"
"western cape","Public Health","840"
