"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","92","18","110"
"National","eastern cape","Amathole DM","Public Health","Female","14484","5588","20072"
"National","eastern cape","Amathole DM","Public Health","Male","12443","4577","17020"
"National","eastern cape","A Nzo DM","Public Health","Female","32779","17605","50384"
"National","eastern cape","A Nzo DM","Public Health","Male","29112","13758","42870"
"National","eastern cape","Buffalo City MM","Private Health","Female","2786","1139","3925"
"National","eastern cape","Buffalo City MM","Private Health","Male","2277","878","3155"
"National","eastern cape","Buffalo City MM","Public Health","Female","16440","9525","25965"
"National","eastern cape","Buffalo City MM","Public Health","Male","13052","6724","19776"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","153","73","226"
"National","eastern cape","C Hani DM","Public Health","Female","13693","3594","17287"
"National","eastern cape","C Hani DM","Public Health","Male","11029","2623","13652"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","647","360","1007"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","486","215","701"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7788","2705","10493"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6947","2183","9130"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4008","2017","6025"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3635","1694","5329"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15746","6478","22224"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12260","4601","16861"
"National","eastern cape","O Tambo DM","Private Health","Female","304","117","421"
"National","eastern cape","O Tambo DM","Private Health","Male","242","111","353"
"National","eastern cape","O Tambo DM","Public Health","Female","43585","17071","60656"
"National","eastern cape","O Tambo DM","Public Health","Male","36731","12821","49552"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1548","1066","2614"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1343","806","2149"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9557","5353","14910"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8032","3996","12028"
"National","free state","Fezile Dabi DM","Private Health","Female","470","339","809"
"National","free state","Fezile Dabi DM","Private Health","Male","444","280","724"
"National","free state","Fezile Dabi DM","Public Health","Female","13079","5004","18083"
"National","free state","Fezile Dabi DM","Public Health","Male","10736","3634","14370"
"National","free state","Lejweleputswa DM","Private Health","Female","3703","1427","5130"
"National","free state","Lejweleputswa DM","Private Health","Male","2965","1078","4043"
"National","free state","Lejweleputswa DM","Public Health","Female","13940","5258","19198"
"National","free state","Lejweleputswa DM","Public Health","Male","11967","3720","15687"
"National","free state","Mangaung MM","Private Health","Female","2943","2001","4944"
"National","free state","Mangaung MM","Private Health","Male","2425","1532","3957"
"National","free state","Mangaung MM","Public Health","Female","23222","13793","37015"
"National","free state","Mangaung MM","Public Health","Male","20765","11153","31918"
"National","free state","T Mofutsanyana DM","Private Health","Female","1818","1110","2928"
"National","free state","T Mofutsanyana DM","Private Health","Male","1564","904","2468"
