"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538749"
"kwazulu-natal","Private Health","1238892"
"western cape","Private Health","1924974"
"limpopo","Private Health","612492"
"northern cape","Public Health","619285"
"gauteng","Private Health","4591376"
"kwazulu-natal","Public Health","4705910"
"mpumalanga","","23"
"free state","Public Health","1881021"
"north west","Public Health","1807985"
"gauteng","Public Health","5904657"
"mpumalanga","Private Health","407010"
"mpumalanga","Public Health","1962558"
"western cape","","3"
"northern cape","Private Health","158537"
"eastern cape","Private Health","695659"
"western cape","Public Health","3711217"
"limpopo","Public Health","3195589"
"limpopo","","2"
"free state","Private Health","402831"
"eastern cape","Public Health","3629543"
