"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","36"
"eastern cape","Public Health","193"
"free state","Private Health","43"
"free state","Public Health","26"
"gauteng","Private Health","553"
"gauteng","Public Health","741"
"kwazulu-natal","Private Health","144"
"kwazulu-natal","Public Health","331"
"limpopo","Private Health","38"
"limpopo","Public Health","126"
"mpumalanga","Private Health","5"
"mpumalanga","Public Health","72"
"northern cape","Private Health","21"
"northern cape","Public Health","2"
"north west","Private Health","39"
"north west","Public Health","1053"
"western cape","Private Health","61"
"western cape","Public Health","6"
