"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","42"
"Janssen Vaccines & Prevention B.V","free state","Adults","2"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","101"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","88"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","35"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","18"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","4"
"Janssen Vaccines & Prevention B.V","north west","Adults","123"
"Janssen Vaccines & Prevention B.V","western cape","Adults","7"
"Pfizer","eastern cape","12-17 Years","1"
"Pfizer","eastern cape","Adults","28"
"Pfizer","free state","12-17 Years","5"
"Pfizer","free state","Adults","8"
"Pfizer","gauteng","12-17 Years","99"
"Pfizer","gauteng","Adults","247"
"Pfizer","kwazulu-natal","12-17 Years","30"
"Pfizer","kwazulu-natal","Adults","82"
"Pfizer","limpopo","12-17 Years","27"
"Pfizer","limpopo","Adults","22"
"Pfizer","mpumalanga","12-17 Years","6"
"Pfizer","mpumalanga","Adults","8"
"Pfizer","northern cape","12-17 Years","1"
"Pfizer","northern cape","Adults","4"
"Pfizer","north west","12-17 Years","116"
"Pfizer","north west","Adults","101"
"Pfizer","western cape","12-17 Years","4"
"Pfizer","western cape","Adults","11"
