"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","4"
"eastern cape","Public Health","20"
"free state","Public Health","1"
"gauteng","Private Health","39"
"gauteng","Public Health","36"
"kwazulu-natal","Private Health","2"
"kwazulu-natal","Public Health","17"
"limpopo","Private Health","2"
"limpopo","Public Health","9"
"mpumalanga","Public Health","16"
"northern cape","Private Health","1"
"northern cape","Public Health","25"
"north west","Private Health","4"
"north west","Public Health","34"
"western cape","Public Health","3"
