"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538970"
"free state","","6"
"kwazulu-natal","Private Health","1239041"
"western cape","Private Health","1925193"
"limpopo","Private Health","612692"
"northern cape","Public Health","619963"
"gauteng","Private Health","4592462"
"kwazulu-natal","Public Health","4708889"
"mpumalanga","","23"
"free state","Public Health","1881974"
"north west","Public Health","1809923"
"gauteng","Public Health","5911136"
"mpumalanga","Private Health","407018"
"mpumalanga","Public Health","1964723"
"western cape","","3"
"northern cape","Private Health","158538"
"eastern cape","Private Health","695745"
"western cape","Public Health","3713946"
"limpopo","Public Health","3198775"
"limpopo","","2"
"free state","Private Health","402856"
"eastern cape","Public Health","3635088"
