"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","537176"
"kwazulu-natal","Private Health","1236877"
"western cape","Private Health","1922363"
"limpopo","Private Health","609217"
"northern cape","Public Health","609220"
"gauteng","Private Health","4574654"
"kwazulu-natal","Public Health","4665681"
"free state","Public Health","1865996"
"north west","Public Health","1786556"
"gauteng","Public Health","5839588"
"mpumalanga","Private Health","406404"
"mpumalanga","Public Health","1931827"
"northern cape","Private Health","158077"
"eastern cape","Private Health","694242"
"western cape","Public Health","3684089"
"limpopo","Public Health","3146504"
"free state","Private Health","400532"
"eastern cape","Public Health","3550985"
