"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919527"
"eastern cape","Pfizer","1347530"
"free state","Johnson & Johnson","487987"
"free state","Pfizer","678540"
"gauteng","Johnson & Johnson","1552890"
"gauteng","Pfizer","3926062"
"kwazulu-natal","Johnson & Johnson","1249196"
"kwazulu-natal","Pfizer","1994083"
"limpopo","Johnson & Johnson","1082510"
"limpopo","Pfizer","1049225"
"mpumalanga","Johnson & Johnson","832400"
"mpumalanga","Pfizer","578346"
"northern cape","Johnson & Johnson","216365"
"northern cape","Pfizer","227778"
"north west","Johnson & Johnson","714937"
"north west","Pfizer","625738"
"western cape","Johnson & Johnson","753016"
"western cape","Pfizer","2126592"
