"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536382"
"kwazulu-natal","Private Health","1235317"
"western cape","Private Health","1919847"
"limpopo","Private Health","607469"
"northern cape","Public Health","606615"
"gauteng","Private Health","4566628"
"kwazulu-natal","Public Health","4649056"
"free state","Public Health","1858891"
"north west","Public Health","1782311"
"gauteng","Public Health","5821987"
"mpumalanga","Private Health","405964"
"mpumalanga","Public Health","1920958"
"northern cape","Private Health","157840"
"eastern cape","Private Health","693680"
"western cape","Public Health","3674325"
"limpopo","Public Health","3134199"
"free state","Private Health","399766"
"eastern cape","Public Health","3525210"
