"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919527"
"Janssen Vaccines & Prevention B.V","free state","Adults","487987"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1552894"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1249198"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1082510"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","832400"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216365"
"Janssen Vaccines & Prevention B.V","north west","Adults","714937"
"Janssen Vaccines & Prevention B.V","western cape","Adults","753016"
"Pfizer","eastern cape","12-17 Years","112321"
"Pfizer","eastern cape","Adults","1135130"
"Pfizer","free state","12-17 Years","79870"
"Pfizer","free state","Adults","597132"
"Pfizer","gauteng","12-17 Years","170674"
"Pfizer","gauteng","Adults","3404593"
"Pfizer","kwazulu-natal","12-17 Years","133226"
"Pfizer","kwazulu-natal","Adults","1661175"
"Pfizer","limpopo","12-17 Years","97980"
"Pfizer","limpopo","Adults","882734"
"Pfizer","mpumalanga","12-17 Years","51185"
"Pfizer","mpumalanga","Adults","477137"
"Pfizer","northern cape","12-17 Years","14503"
"Pfizer","northern cape","Adults","194808"
"Pfizer","north west","12-17 Years","52808"
"Pfizer","north west","Adults","541546"
"Pfizer","western cape","12-17 Years","53929"
"Pfizer","western cape","Adults","1869012"
