"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539159"
"free state","","6"
"kwazulu-natal","Private Health","1239108"
"western cape","Private Health","1925388"
"limpopo","Private Health","612882"
"northern cape","Public Health","620499"
"gauteng","Private Health","4594007"
"kwazulu-natal","Public Health","4711049"
"mpumalanga","","23"
"free state","Public Health","1882698"
"north west","Public Health","1811672"
"gauteng","Public Health","5916456"
"mpumalanga","Private Health","407033"
"mpumalanga","Public Health","1966683"
"western cape","","3"
"northern cape","Private Health","158545"
"eastern cape","Private Health","695828"
"western cape","Public Health","3716371"
"limpopo","Public Health","3200972"
"limpopo","","2"
"free state","Private Health","402894"
"eastern cape","Public Health","3638993"
