"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","865970","0","157871","1023841"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","465478","0","96467","561945"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1442459","0","218141","1660600"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1167559","0","186794","1354353"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1058945","0","162756","1221701"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","819862","0","134976","954838"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","209154","0","36015","245169"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","697267","0","119802","817069"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","665986","0","114831","780817"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60873","0","24222","85095"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12198","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137623","0","65389","203012"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94510","0","40023","134533"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34194","0","17016","51210"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21989","0","7152","29141"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23485","0","8966","32451"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94622","0","61527","156149"
"Pfizer","National","eastern cape","Adults","1376276","1156908","265163","2798347"
"Pfizer","National","eastern cape","12-17 Years","299966","127572","0","427538"
"Pfizer","National","free state","12-17 Years","166015","79778","0","245793"
"Pfizer","National","free state","Adults","689367","604845","147054","1441266"
"Pfizer","National","gauteng","12-17 Years","376845","166943","28","543816"
"Pfizer","National","gauteng","Adults","3967184","3436183","699672","8103039"
"Pfizer","National","kwazulu-natal","Adults","2021051","1680234","342938","4044223"
"Pfizer","National","kwazulu-natal","12-17 Years","285847","131188","13","417048"
"Pfizer","National","limpopo","Adults","1069979","895195","184231","2149405"
"Pfizer","National","limpopo","12-17 Years","289664","101874","2","391540"
"Pfizer","National","mpumalanga","12-17 Years","146646","55937","3","202586"
"Pfizer","National","mpumalanga","Adults","590424","485373","111377","1187174"
"Pfizer","National","northern cape","12-17 Years","37291","15948","0","53239"
"Pfizer","National","northern cape","Adults","231428","197289","38000","466717"
"Pfizer","National","north west","12-17 Years","147294","52227","4","199525"
"Pfizer","National","north west","Adults","636241","548315","117230","1301786"
"Pfizer","National","western cape","12-17 Years","128125","54352","3","182480"
"Pfizer","National","western cape","Adults","2142660","1880445","499211","4522316"
