"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","161"
"Janssen Vaccines & Prevention B.V","free state","Adults","19"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","395"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","150"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","162"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","81"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","38"
"Janssen Vaccines & Prevention B.V","north west","Adults","113"
"Janssen Vaccines & Prevention B.V","western cape","Adults","90"
"Pfizer","eastern cape","12-17 Years","422"
"Pfizer","eastern cape","Adults","302"
"Pfizer","free state","12-17 Years","4"
"Pfizer","free state","Adults","73"
"Pfizer","gauteng","12-17 Years","90"
"Pfizer","gauteng","Adults","286"
"Pfizer","kwazulu-natal","12-17 Years","22"
"Pfizer","kwazulu-natal","Adults","145"
"Pfizer","limpopo","12-17 Years","71"
"Pfizer","limpopo","Adults","170"
"Pfizer","mpumalanga","12-17 Years","60"
"Pfizer","mpumalanga","Adults","94"
"Pfizer","northern cape","12-17 Years","32"
"Pfizer","northern cape","Adults","14"
"Pfizer","north west","12-17 Years","8"
"Pfizer","north west","Adults","67"
"Pfizer","western cape","12-17 Years","8"
"Pfizer","western cape","Adults","104"
