"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","6"
"eastern cape","Public Health","2082"
"free state","Private Health","33"
"free state","Public Health","267"
"gauteng","Private Health","274"
"gauteng","Public Health","1297"
"kwazulu-natal","Private Health","15"
"kwazulu-natal","Public Health","700"
"limpopo","Private Health","52"
"limpopo","Public Health","963"
"mpumalanga","Public Health","507"
"northern cape","Private Health","9"
"northern cape","Public Health","182"
"north west","Private Health","10"
"north west","Public Health","415"
"western cape","Private Health","31"
"western cape","Public Health","460"
