"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","88"
"eastern cape","Public Health","243"
"free state","Private Health","55"
"free state","Public Health","61"
"gauteng","Private Health","1502"
"gauteng","Public Health","1114"
"kwazulu-natal","Private Health","438"
"kwazulu-natal","Public Health","683"
"limpopo","Private Health","201"
"limpopo","Public Health","364"
"mpumalanga","Private Health","78"
"mpumalanga","Public Health","240"
"northern cape","Private Health","49"
"north west","Private Health","93"
"north west","Public Health","599"
"western cape","Private Health","460"
"western cape","Public Health","156"
