"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","3"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","8"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","2"
"Janssen Vaccines & Prevention B.V","north west","Adults","2"
"Pfizer","eastern cape","Adults","0"
"Pfizer","gauteng","Adults","5"
"Pfizer","kwazulu-natal","12-17 Years","0"
"Pfizer","kwazulu-natal","Adults","2"
"Pfizer","limpopo","Adults","5"
"Pfizer","north west","12-17 Years","2"
"Pfizer","north west","Adults","27"
