"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","3","0","1","4"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","8","0","0","8"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","2","0","0","2"
"Janssen Vaccines & Prevention B.V","north west","Adults","2","0","19","21"
"Pfizer","eastern cape","Adults","3","0","0","3"
"Pfizer","gauteng","Adults","8","5","2","15"
"Pfizer","kwazulu-natal","12-17 Years","1","0","0","1"
"Pfizer","kwazulu-natal","Adults","1","2","4","7"
"Pfizer","limpopo","Adults","0","5","4","9"
"Pfizer","north west","12-17 Years","0","2","0","2"
"Pfizer","north west","Adults","7","27","20","54"
