"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","14"
"eastern cape","Public Health","1085"
"free state","Private Health","20"
"free state","Public Health","349"
"gauteng","Private Health","398"
"gauteng","Public Health","1126"
"gauteng","","1"
"kwazulu-natal","Private Health","24"
"kwazulu-natal","Public Health","661"
"limpopo","Private Health","83"
"limpopo","Public Health","829"
"mpumalanga","Private Health","7"
"mpumalanga","Public Health","536"
"northern cape","Public Health","57"
"north west","Private Health","44"
"north west","Public Health","254"
"western cape","Private Health","32"
"western cape","Public Health","378"
