"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","737"
"eastern cape","Public Health","9321"
"free state","Private Health","459"
"free state","Public Health","3181"
"gauteng","Private Health","4601"
"gauteng","Public Health","8064"
"kwazulu-natal","Private Health","1074"
"kwazulu-natal","Public Health","6794"
"limpopo","Private Health","747"
"limpopo","Public Health","7102"
"mpumalanga","Private Health","393"
"mpumalanga","Public Health","3929"
"northern cape","Private Health","128"
"northern cape","Public Health","914"
"north west","Private Health","748"
"north west","Public Health","3029"
"western cape","Private Health","1762"
"western cape","Public Health","2896"
