"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","80","0","113","193"
"Janssen Vaccines & Prevention B.V","free state","Adults","32","0","55","87"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","415","0","227","642"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","98","0","100","198"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","107","0","166","273"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","62","0","132","194"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","12","0","17","29"
"Janssen Vaccines & Prevention B.V","north west","Adults","66","0","166","232"
"Janssen Vaccines & Prevention B.V","western cape","Adults","96","0","79","175"
"Pfizer","eastern cape","12-17 Years","31","36","0","67"
"Pfizer","eastern cape","Adults","285","124","471","880"
"Pfizer","free state","12-17 Years","6","3","0","9"
"Pfizer","free state","Adults","18","26","68","112"
"Pfizer","gauteng","12-17 Years","58","46","0","104"
"Pfizer","gauteng","Adults","296","209","377","882"
"Pfizer","kwazulu-natal","12-17 Years","12","18","0","30"
"Pfizer","kwazulu-natal","Adults","97","109","111","317"
"Pfizer","limpopo","12-17 Years","36","24","0","60"
"Pfizer","limpopo","Adults","126","60","118","304"
"Pfizer","mpumalanga","12-17 Years","20","12","0","32"
"Pfizer","mpumalanga","Adults","38","50","58","146"
"Pfizer","northern cape","12-17 Years","6","6","0","12"
"Pfizer","northern cape","Adults","21","17","21","59"
"Pfizer","north west","12-17 Years","28","39","0","67"
"Pfizer","north west","Adults","61","41","96","198"
"Pfizer","western cape","12-17 Years","13","9","0","22"
"Pfizer","western cape","Adults","88","52","182","322"
