"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","16"
"eastern cape","Public Health","1124"
"free state","Private Health","8"
"free state","Public Health","200"
"gauteng","Private Health","206"
"gauteng","Public Health","1422"
"kwazulu-natal","Private Health","24"
"kwazulu-natal","Public Health","521"
"limpopo","Private Health","19"
"limpopo","Public Health","618"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","371"
"northern cape","Public Health","100"
"north west","Private Health","54"
"north west","Public Health","443"
"western cape","Private Health","8"
"western cape","Public Health","511"
