"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","25"
"eastern cape","Public Health","1422"
"free state","Private Health","39"
"free state","Public Health","343"
"gauteng","Private Health","247"
"gauteng","Public Health","1135"
"kwazulu-natal","Private Health","41"
"kwazulu-natal","Public Health","668"
"limpopo","Private Health","36"
"limpopo","Public Health","1196"
"mpumalanga","Private Health","8"
"mpumalanga","Public Health","330"
"northern cape","Private Health","8"
"northern cape","Public Health","178"
"north west","Private Health","26"
"north west","Public Health","367"
"western cape","Private Health","29"
"western cape","Public Health","402"
