"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","98"
"eastern cape","Public Health","3060"
"free state","Private Health","33"
"free state","Public Health","1144"
"gauteng","Private Health","767"
"gauteng","Public Health","1579"
"kwazulu-natal","Private Health","161"
"kwazulu-natal","Public Health","2374"
"limpopo","Private Health","223"
"limpopo","Public Health","1957"
"mpumalanga","Private Health","225"
"mpumalanga","Public Health","1847"
"northern cape","Private Health","17"
"northern cape","Public Health","701"
"north west","Private Health","80"
"north west","Public Health","437"
"western cape","Private Health","262"
"western cape","Public Health","738"
